Well,Well Position,Omit,Sample,Target,Task,Reporter,Quencher,Amp Status,Amp Score,Curve Quality,Result Quality Issues,Cq,Cq Confidence,Cq Mean,Cq SD,Auto Threshold,Threshold,Auto Baseline,Baseline Start,Baseline End,Tm1,Tm2,Tm3,Tm4,Tm5
1,A1,FALSE,6122,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.276993123,,,24.95606104,0.98964131,24.95606104,,TRUE,0.076008898,TRUE,3,21,92.14573669,,,,
2,A2,FALSE,8132,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.289041473,,,24.20306872,0.992242603,24.20306872,,TRUE,0.076008898,TRUE,3,20,92.14573669,,,,
3,A3,FALSE,8141,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.284844834,,,24.71329846,0.990864779,24.71329846,,TRUE,0.076008898,TRUE,3,21,92.25813293,,,,
4,A4,FALSE,9152,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.276249305,,,24.88075645,0.98553887,24.88075645,,TRUE,0.076008898,TRUE,3,21,92.25813293,,,,
5,A5,FALSE,9160,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.277240999,,,23.88154398,0.992939483,23.88154398,,TRUE,0.076008898,TRUE,3,19,92.30203247,,,,
6,A6,FALSE,9268,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.278314279,,,25.31854399,0.98699943,25.31854399,,TRUE,0.076008898,TRUE,3,21,92.30203247,,,,
7,A7,FALSE,9376,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.281135658,,,25.48432017,0.972966483,25.48432017,,TRUE,0.076008898,TRUE,3,22,92.30203247,,,,
8,A8,FALSE,9384,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.27661612,,,25.20733601,0.987660964,25.20733601,,TRUE,0.076008898,TRUE,3,21,92.30203247,,,,
9,A9,FALSE,9392,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.245482584,,,20.55143801,0.839642044,20.55143801,,TRUE,0.076008898,TRUE,3,15,92.31018829,,,,
10,A10,FALSE,9400,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.264612998,,,24.73843451,0.969457165,24.73843451,,TRUE,0.076008898,TRUE,3,21,92.42276764,,,,
11,A11,FALSE,9408,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.268162466,,,25.74704638,0.975087549,25.74704638,,TRUE,0.076008898,TRUE,3,22,92.31018829,,,,
12,A12,FALSE,10124,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.284386717,,,24.57185527,0.981133477,24.57185527,,TRUE,0.076008898,TRUE,3,20,92.31018829,,,,
13,A13,FALSE,9416,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.265242539,,,25.59415116,0.960891281,25.59415116,,TRUE,0.076008898,TRUE,3,21,92.32767487,,,,
14,A14,FALSE,Water,Alb88_Dlp74,UNKNOWN,SYBR,None,NO_AMP,0,,,UNDETERMINED,0,,,TRUE,0.076008898,TRUE,3,39,71.9402771,81.73974609,,,
49,C1,FALSE,6224,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.270849868,,,23.50358042,0.987570364,23.50358042,,TRUE,0.076008898,TRUE,3,20,92.3705368,,,,
50,C2,FALSE,8133,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.289164759,,,24.29102998,0.984646835,24.29102998,,TRUE,0.076008898,TRUE,3,21,92.25813293,,,,
