Well,Well Position,Omit,Sample,Target,Task,Reporter,Quencher,Amp Status,Amp Score,Curve Quality,Result Quality Issues,Cq,Cq Confidence,Cq Mean,Cq SD,Auto Threshold,Threshold,Auto Baseline,Baseline Start,Baseline End,Tm1,Tm2,Tm3,Tm4,Tm5
1,A1,FALSE,6122,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.213603955,,,14.96012144,0.850121863,14.96012144,,TRUE,0.072208429,TRUE,3,11,92.14573669,,,,
2,A2,FALSE,8132,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.23288537,,,14.4423481,0.897557301,14.4423481,,TRUE,0.072208429,TRUE,3,10,92.14573669,,,,
3,A3,FALSE,8141,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.229948858,,,14.81177785,0.887599919,14.81177785,,TRUE,0.072208429,TRUE,3,10,92.25813293,,,,
4,A4,FALSE,9152,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.21706868,,,15.36874939,0.878665593,15.36874939,,TRUE,0.072208429,TRUE,3,11,92.25813293,,,,
5,A5,FALSE,9160,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.223269343,,,14.24659791,0.911410767,14.24659791,,TRUE,0.072208429,TRUE,3,11,92.30203247,,,,
6,A6,FALSE,9268,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.218117875,,,15.304027,0.891124267,15.304027,,TRUE,0.072208429,TRUE,3,11,92.30203247,,,,
7,A7,FALSE,9376,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.212526782,,,15.63266961,0.88078915,15.63266961,,TRUE,0.072208429,TRUE,3,12,92.30203247,,,,
8,A8,FALSE,9384,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.193172923,,,15.62510354,0.808520729,15.62510354,,TRUE,0.072208429,TRUE,3,12,92.30203247,,,,
9,A9,FALSE,9392,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.086855468,,,13.38351188,0.496420859,13.38351188,,TRUE,0.072208429,TRUE,3,9,92.31018829,,,,
10,A10,FALSE,9400,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.145284257,,,15.98069173,0.612984106,15.98069173,,TRUE,0.072208429,TRUE,3,12,92.42276764,,,,
11,A11,FALSE,9408,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.141460602,,,16.51535016,0.626329664,16.51535016,,TRUE,0.072208429,TRUE,3,12,92.31018829,,,,
12,A12,FALSE,10124,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.208513525,,,14.81862642,0.842926861,14.81862642,,TRUE,0.072208429,TRUE,3,11,92.31018829,,,,
13,A13,FALSE,9416,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.146936171,,,16.2442401,0.626555535,16.2442401,,TRUE,0.072208429,TRUE,3,12,92.32767487,,,,
14,A14,FALSE,Water,Alb88_Dlp74,UNKNOWN,SYBR,None,NO_AMP,0,,,UNDETERMINED,0,,,TRUE,0.072208429,TRUE,3,39,71.9402771,81.73974609,,,
49,C1,FALSE,6224,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.208183572,,,12.8829884,0.831686801,12.8829884,,TRUE,0.072208429,TRUE,3,8,92.3705368,,,,
50,C2,FALSE,8133,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.227586945,,,14.50108236,0.924327718,14.50108236,,TRUE,0.072208429,TRUE,3,10,92.25813293,,,,
51,C3,FALSE,8243,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.228826484,,,14.70425865,0.912014814,14.70425865,,TRUE,0.072208429,TRUE,3,11,92.3705368,,,,
52,C4,FALSE,9153,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.191126101,,,13.95131284,0.816899098,13.95131284,,TRUE,0.072208429,TRUE,3,10,92.3705368,,,,
53,C5,FALSE,9161,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.226094489,,,14.50927391,0.906213356,14.50927391,,TRUE,0.072208429,TRUE,3,10,92.4145813,,,,
54,C6,FALSE,9269,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.216404057,,,13.53453384,0.894134591,13.53453384,,TRUE,0.072208429,TRUE,3,9,92.4145813,,,,
55,C7,FALSE,9377,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.19297197,,,13.16070461,0.812148213,13.16070461,,TRUE,0.072208429,TRUE,3,9,92.4145813,,,,
56,C8,FALSE,9385,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.223577907,,,16.30282719,0.928414047,16.30282719,,TRUE,0.072208429,TRUE,3,13,92.4145813,,,,
57,C9,FALSE,9393,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.214402743,,,14.07663628,0.870420618,14.07663628,,TRUE,0.072208429,TRUE,3,10,92.42276764,,,,
58,C10,FALSE,9401,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.220698182,,,12.42887278,0,12.42887278,,TRUE,0.072208429,TRUE,3,12,92.31018829,,,,
59,C11,FALSE,9409,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.224914156,,,15.79547687,0.875032403,15.79547687,,TRUE,0.072208429,TRUE,3,11,92.42276764,,,,
60,C12,FALSE,10125,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.223507079,,,13.81797591,0.940973127,13.81797591,,TRUE,0.072208429,TRUE,3,10,92.31018829,,,,
61,C13,FALSE,9417,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.20361549,,,15.37137985,0.895498295,15.37137985,,TRUE,0.072208429,TRUE,3,11,92.44030762,,,,
97,E1,FALSE,6225,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.209731163,,,13.9559684,0.821058981,13.9559684,,TRUE,0.072208429,TRUE,3,9,92.48293304,,,,
98,E2,FALSE,8134,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.221096094,,,13.31601252,0.88722175,13.31601252,,TRUE,0.072208429,TRUE,3,9,92.3705368,,,,
99,E3,FALSE,8244,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.217140735,,,13.02128795,0.918441508,13.02128795,,TRUE,0.072208429,TRUE,3,9,92.48293304,,,,
100,E4,FALSE,9154,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.223299592,,,15.41623661,0.905469465,15.41623661,,TRUE,0.072208429,TRUE,3,11,92.48293304,,,,
101,E5,FALSE,9262,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.176484019,,,11.6102385,0.874832565,11.6102385,,TRUE,0.072208429,TRUE,3,8,92.52713013,,,,
102,E6,FALSE,9270,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.226482347,,,14.82853945,0.939337665,14.82853945,,TRUE,0.072208429,TRUE,3,11,92.52713013,,,,
103,E7,FALSE,9378,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.223420083,,,13.71075597,0.899581179,13.71075597,,TRUE,0.072208429,TRUE,3,9,92.52713013,,,,
104,E8,FALSE,9386,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.21755631,,,13.99094488,0.921935586,13.99094488,,TRUE,0.072208429,TRUE,3,10,92.52713013,,,,
105,E9,FALSE,9394,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.217772655,,,14.12708285,0.894338846,14.12708285,,TRUE,0.072208429,TRUE,3,10,92.53533936,,,,
106,E10,FALSE,9402,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.227009927,,,13.76571811,0.931723778,13.76571811,,TRUE,0.072208429,TRUE,3,10,92.53533936,,,,
